User-ID,Location,Age
21364,"san diego, california, usa",32.0
21404,"west vancouver, british columbia, canada",
21576,"memphis, tennessee, usa",31.0
21659,"san jose, california, usa",31.0
22625,"lynbrook, new york, usa",54.0
23511,"chapel hill, north carolina, usa",56.0
23680,"carmichael, ,",
23768,"st. louis, missouri, usa",45.0
23872,"tulsa, oklahoma, usa",22.0
23902,"london, england, united kingdom",
24194,"palos hills, illinois, usa",20.0
24921,"higley, arizona, usa",29.0
25409,"la mesa, california, usa",31.0
25981,"nj, new jersey, usa",
26516,"victor, montana, usa",67.0
26535,"hickory, mississippi, usa",41.0
26544,"woodbridge, virginia, usa",37.0
26593,"peoria, arizona, usa",
26883,"vienna, vienna, austria",
27462,"lima, ohio, usa",
27472,"bountiful, utah, usa",41.0
27617,"beaverton, ontario, canada",32.0
27647,"lisboa, lisboa, portugal",
28204,"south ohio, nova scotia, canada",61.0
28523,"springfield, missouri, usa",24.0
28591,"michie, tennessee, usa",33.0
28634,"bad axe, michigan, usa",28.0
29209,"boca raton, florida, usa",
29259,"mt. airy, , usa",39.0
29526,"knoxville, tennessee, usa",26.0
29855,"morris, connecticut, usa",53.0
30273,"naples, florida, usa",25.0
30276,"wildwood, new jersey, usa",49.0
30487,"newbury park, california, usa",40.0
30511,"culemborg, gelderland, netherlands",
30533,"charleston, south carolina, usa",
30711,"sydney, new south wales, australia",32.0
30716,"new york, new york, usa",23.0
30735,"corvallis, oregon, usa",
30824,"saint paul, minnesota, usa",45.0
30972,"columbiana, alabama, usa",47.0
31315,"henryville, indiana, usa",34.0
31391,"wilmington, massachusetts, usa",38.0
31556,"chula vista, california, usa",51.0
31826,"jasper, missouri, usa",54.0
31846,"phoenix, , usa",
31919,"skokie, illinois, usa",52.0
32195,"fall river, massachusetts, usa",
32440,"dunedin, otago, new zealand",
32721,"toulouse, haute-garonne, france",36.0
32773,"olathe, kansas, usa",28.0
33818,"winnipeg, manitoba, canada",29.0
33974,"barnhart, missouri, usa",24.0
34300,"burlington, ontario, canada",35.0
35050,"west columbia, south carolina, usa",33.0
35836,"rochester, new york, usa",34.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",
36003,"shah alam, selangor, malaysia",26.0
36606,"san marcos, california, usa",39.0
36609,"zachary, louisiana, usa",32.0
36715,"lexington, kentucky, usa",
36836,"raleigh, north carolina, usa",56.0
36907,"dunnville, ontario, canada",39.0
37538,"kuala lumpur, n/a, malaysia",
37567,"medway, kent, united kingdom",36.0
37644,"sudbury, massachusetts, usa",18.0
37712,"cincinnati, ohio, usa",23.0
37950,"calgary, alberta, canada",
38023,"hayward, california, usa",30.0
38273,"chandler, arizona, usa",
38781,"kingsville, texas, usa",31.0
39281,"morris plains, new jersey, usa",45.0
39616,"las vegas, nevada, usa",38.0
39646,"fairless hills, pennsylvania, usa",35.0
39773,"miami, florida, usa",49.0
40889,"brainerd, minnesota, usa",37.0
40943,"oklahoma city, oklahoma, usa",40.0
41084,"orlando, florida, usa",36.0
41455,"toronto, ontario, canada",
41781,"clinton twp., michigan, usa",54.0
41841,"sherwood park, alberta, canada",
42914,"clarksville, indiana, usa",26.0
43246,"toronto, ontario, canada",36.0
43619,"shrewsbury, massachusetts, usa",26.0
43687,"sacramento, california, usa",27.0
43806,"delano, minnesota, usa",31.0
43842,"tucson, ,",
43910,"granada hills, california, usa",43.0
44728,"florence, alabama, usa",31.0
44845,"dallas, texas, usa",29.0
45557,"flossmoor, illinois, usa",33.0
46398,"san antonio, texas, usa",37.0
46909,"howell, new jersey, usa",31.0
47316,"comanche, texas, usa",
48025,"concordia, missouri, usa",43.0
48046,"central sq., new york, usa",
48494,"lemon grove, california, usa",51.0
49109,"west jordan, utah, usa",38.0
49154,"thibodaux, louisiana, usa",41.0
49422,"regensburg, bayern, germany",
49460,"., kansas, usa",37.0
50225,"fresno, california, usa",
50730,"mcallen, texas, usa",
50895,"calverton, new york, usa",
51094,"milton, ontario, canada",
51350,"monroe, ,",
51386,"adrian, michigan, usa",41.0
51450,"lawrenceville, georgia, usa",54.0
51526,"long beach, california, usa",34.0
51883,"jasper, missouri, usa",31.0
52002,"bloomington, indiana, usa",
52199,"houston, texas, usa",47.0
52584,"livermore, california, usa",45.0
52614,"toccoa, ga., usa",33.0
52853,"yuba city, california, usa",61.0
52917,"bellevue, washington, usa",42.0
53174,"orlando, florida, usa",29.0
53220,"fullerton, california, usa",36.0
53456,"ne portland, oregon,",
53628,"brest, bretagne, france",22.0
53729,"balingup, western australia, australia",
55187,"torrance, california, usa",48.0
55490,"rapid city, south dakota, usa",25.0
55492,"antioch, illinois, usa",43.0
55493,"chatham, ontario, canada",35.0
55548,"chamblee, georgia, usa",
55734,"calgary, alberta, canada",37.0
55858,"dartmouth, nova scotia, canada",28.0
55892,"plantersville, texas, usa",45.0
55927,"roscoe, minnesota, usa",17.0
56271,"leeds, england, united kingdom",22.0
56307,"el segundo, california, usa",
56399,"n/a, surrey, united kingdom",63.0
56447,"sturgis, michigan, usa",22.0
56554,"rural hall, north carolina, usa",39.0
56856,"escondido, california, usa",23.0
56959,"monroe twp., new jersey, usa",52.0
59038,"san antonio, texas, usa",28.0
59150,"victoria, british columbia, canada",37.0
59172,"owen sound, ontario, canada",36.0
59189,"houston, texas, usa",33.0
59269,"indianapolis, indiana, usa",
59390,"uniontown, pennsylvania, usa",
59727,"plano, texas, usa",24.0
59971,"kingwood, texas, usa",27.0
60244,"alvin, texas, usa",47.0
60277,"boston, massachusetts, usa",
60569,"chardon, ohio, usa",41.0
60707,"manchester, new hampshire, usa",38.0
61619,"coburg, oregon, usa",
62272,"lake mary, florida, usa",30.0
62755,"dublin, texas, usa",50.0
62862,"new milford, connecticut, usa",47.0
62881,"milwaukee, wisconsin, usa",39.0
62891,"hi nella, new jersey, usa",27.0
62895,"chesterfield, derbyshire, united kingdom",39.0
63394,"eufaula, alabama, usa",22.0
63938,"northwest, iowa, usa",
64436,"san ramon, california, usa",36.0
65258,"saginaw, michigan, usa",42.0
65584,"tulsa, oklahoma, usa",26.0
66680,"orange park, florida, usa",67.0
66942,"kuching, sarawak, malaysia",31.0
67840,"houston, texas, usa",50.0
68185,"virginia beach, virginia, usa",22.0
68555,"bad axe, michigan, usa",
69042,"drayton valley, alberta, canada",55.0
69078,"new york, new york, usa",42.0
69232,"mooresville, north carolina, usa",55.0
69355,"syracuse, new york, usa",
69405,"ede, gelderland, netherlands",36.0
69697,"west sacramento, california, usa",24.0
69971,"pinehurst, north carolina, usa",43.0
70052,"st. john`s, ontario, canada",30.0
70415,"crescent city, florida, usa",57.0
70594,"prince george, british columbia, canada",53.0
71712,"valley center, kansas, usa",26.0
73196,"little rock, arkansas, usa",35.0
73394,"san diego, california, usa",33.0
73651,"grapevine, texas, usa",
73681,"almada, set�bal, portugal",27.0
75591,"charleston, west virginia, usa",33.0
75860,"buffalo, minnesota, usa",30.0
76151,"sioux falls, south dakota, usa",49.0
76223,"lisboa, lisboa, portugal",25.0
76352,"olympia, washington, usa",58.0
76483,"orange park, florida, usa",37.0
76499,"new york, new york, usa",
76626,"london, england, united kingdom",38.0
76818,"little rock, arkansas, usa",49.0
76942,"sacramento, california, usa",25.0
77480,"gig harbor, washington, usa",51.0
77809,"atlantic highlands, new jersey, usa",29.0
77940,"melaka, melaka, malaysia",
78448,"fairfax, virginia, usa",
78553,"el cajon, california, usa",40.0
78783,"chantilly, virginia, usa",49.0
78834,"honolulu, hawaii, usa",28.0
78973,"amadora, lisboa, portugal",29.0
79186,"fairbanks, alaska, usa",37.0
80538,"lisboa, lisboa, portugal",32.0
80683,"new castle, delaware, usa",27.0
80810,"warrensburg, missouri, usa",33.0
80945,"freiburg, baden-w�rttemberg, germany",46.0
81045,"tigard, oregon, usa",
81368,"mesa, arizona, usa",28.0
81492,"san antonio, texas, usa",28.0
81560,"christchurch, canterbury, new zealand",
81597,"wichita, kansas, usa",
81682,"bluffton, south carolina,",36.0
81848,"springfield, illinois, usa",35.0
81977,"minneapolis, minnesota, usa",34.0
82407,"washington, dc, usa",
82831,"nashville, tennessee, usa",21.0
82893,"san antonio, texas, usa",40.0
82926,"vista, california, usa",
83287,"tulsa, oklahoma, usa",45.0
83637,"raleigh, north carolina, usa",57.0
84024,"abilene, texas, usa",37.0
85426,"chisholm, minnesota, usa",23.0
85526,"victoria, british columbia, canada",36.0
85656,"cottage grove, oregon, usa",41.0
85701,"savannah, georgia, usa",37.0
85757,"pawtucket, rhode island, usa",40.0
85993,"portland, oregon, usa",40.0
86189,"tustin, california, usa",
86202,"sydney, new south wales, australia",26.0
86243,"christchurch, canterbury, new zealand",
87141,"huntington beach, california, usa",
87555,"lexington, kentucky, usa",31.0
87712,"yarmouth, nova scotia, canada",19.0
87746,"wallingford, connecticut, usa",52.0
88283,"hamburg, hamburg, germany",24.0
88677,"laval, quebec, canada",44.0
88693,"shanghai, shanghai, china",30.0
88733,"houston, texas, usa",
88793,"arcata, california, usa",25.0
88937,"cary, north carolina, usa",39.0
89014,"surfside beach, south carolina, usa",
89602,"honolulu, hawaii, usa",
91113,"chicago, illinois, usa",26.0
91203,"glasgow, scotland, united kingdom",30.0
91342,"doha, doha, qatar",29.0
91832,"miami, florida, usa",
91931,"new westminster, british columbia, canada",40.0
92547,"baker city, oregon, usa",29.0
92810,"manistee, michigan, usa",60.0
92979,"fairfield, california, usa",
93047,"nashua, new hampshire, usa",52.0
93085,"cedar rapids, iowa, usa",34.0
93179,"san diego, california, usa",
93363,"farmington hills, michigan, usa",30.0
93426,"plano, texas, usa",35.0
93629,"baton rouge, louisiana, usa",54.0
94347,"oakland, new jersey, usa",44.0
94923,"brick, new jersey, usa",40.0
95173,"sterling heights, michigan, usa",
95316,"fredericton, new brunswick, canada",
95359,"charleston, west virginia, usa",33.0
95903,"mason, ohio, usa",27.0
95932,"manchester, new hampshire, usa",36.0
95991,"santa ana, california, usa",28.0
96054,"ottawa, ontario, canada",29.0
97754,"schenectady, new york, usa",46.0
98391,"morrow, georgia, usa",52.0
98723,"cincinnati, ohio, usa",29.0
98741,"fairbanks, alaska, usa",30.0
98758,"calgary, alberta, canada",25.0
98787,"melbourne, victoria, australia",26.0
98904,"billings, montana, usa",28.0
99955,"lockport, new york, usa",14.0
100459,"bay area, california, usa",38.0
100644,"heilbronn, baden-wuerttemberg, germany",26.0
100846,"plainfield, illinois, usa",39.0
100906,"seattle, washington, usa",34.0
101209,"ft huachuca, arizona, usa",44.0
101305,"milwaukee, wisconsin, usa",29.0
101851,"keizer, oregon, usa",29.0
101876,"nicholasville, kentucky, usa",38.0
102275,"saint clair, michigan, usa",52.0
102647,"modesto, california, usa",14.0
102702,"honolulu, hawaii, usa",34.0
102967,"olympia, washington, usa",54.0
104211,"chattanooga, tennessee, usa",39.0
104399,"middletown, ohio, usa",29.0
104636,"youngstown, ohio, usa",
104665,"altoona, iowa, usa",30.0
105374,"montreal, quebec, canada",25.0
105517,"calgary, alberta, canada",28.0
105937,"tampa, florida, usa",27.0
105979,"oakland, california, usa",26.0
106007,"santa rosa, california, usa",29.0
106225,"chicago, illinois, usa",38.0
107021,"indianapolis, indiana, usa",45.0
107244,"appleton, wisconsin, usa",50.0
107301,"west kensington, london, united kingdom",31.0
107453,"chunchula, alabama, usa",18.0
107784,"tarentum, pennsylvania, usa",
108005,"greenfield, wisconsin, usa",29.0
108285,"appleton, wisconsin, usa",22.0
108352,"rochester, michigan, usa",37.0
108405,"irvine, ,",49.0
108799,"kaneohe, hawaii, usa",
109574,"edmonton, alberta, canada",50.0
109901,"sydney, new south wales, australia",59.0
109955,"adelaide, south australia, australia",
110029,"norwich, england, united kingdom",27.0
110373,"livingston, new jersey, usa",
110483,"fredericton, new brunswick, canada",30.0
110912,"milpitas, california, usa",36.0
110934,"kirkland, washington, usa",46.0
110973,"wiley ford, west virginia, usa",43.0
111174,"austin, texas, usa",
111847,"sabine pass, texas, usa",38.0
111947,"albuquerque, new mexico, usa",30.0
112001,"barren springs, virginia, usa",43.0
112026,"lakewood, washington, usa",17.0
112881,"kitchener, ontario, canada",18.0
113270,"evanston, illinois, usa",25.0
113519,"pleasanton, california, usa",
113904,"baltimore, maryland, usa",31.0
114368,"mechanicsville, maryland, usa",33.0
114414,"edinburg, texas, usa",27.0
114444,"alexandria, virginia, usa",34.0
114544,"antelope, california, usa",35.0
114868,"edmonton, alberta, canada",31.0
114988,"temple, texas, usa",37.0
115002,"stockholm, stockholm, sweden",
115003,"asheville, north carolina, usa",43.0
115120,"sherman oaks, california, usa",29.0
115435,"cincinnati, ohio, usa",30.0
115490,"dekalb, illinois, usa",
116599,"tehran, tehran, iran",29.0
117111,"toronto, ontario, canada",30.0
117251,"pleasant hill, california, usa",
117594,"moline, illinois, usa",26.0
119517,"andover, minnesota, usa",
119575,"north vancouver, british columbia, canada",30.0
120090,"cascade, ,",
120093,"merrick, acworth, new york, georgia, usa",59.0
120908,"boston, massachusetts, usa",27.0
122429,"kamuela, hawaii, usa",48.0
122793,"omemee, ontario, canada",46.0
123095,"hollywood, maryland, usa",
123430,"manning, south carolina, usa",
123790,"mount vernon, new york, usa",25.0
123883,"topeka, kansas, usa",18.0
123981,"phoenix, arizona, usa",46.0
124078,"muskegon, michigan, usa",25.0
124079,"prince george, british columbia, canada",24.0
124363,"tallahassee, florida, usa",36.0
124487,"ramah, new mexico, usa",
124489,"mt.view, hawaii, usa",
124597,"brights grove, ontario, canada",38.0
124942,"olympia, washington, usa",
125039,"lafayette, indiana, usa",27.0
125519,"irvine, california, usa",40.0
125692,"elmira, new york, usa",28.0
125774,"tehran, tehran, iran",36.0
126296,"ramsey, huntingdon, cambridgeshire, united kingdom",41.0
126492,"westmont, illinois, usa",31.0
126604,"north reading, massachusetts, usa",27.0
126693,"newmarket, ontario, canada",33.0
126736,"fulton, missouri, usa",38.0
127129,"langley, british columbia, canada",
127200,"urbana, illinois, usa",
127233,"marietta, georgia, usa",29.0
127359,"beaverton, oregon, usa",33.0
127429,"kansas city, missouri, usa",23.0
127826,"duluth, georgia, usa",
127914,"anchorage, alaska, usa",43.0
128085,"durham, north carolina, usa",40.0
128208,"san antonio, texas, usa",34.0
128696,"southampton, england, united kingdom",34.0
128835,"bellingham, washington, usa",60.0
129008,"rapid city, south dakota, usa",44.0
129074,"marietta, georgia, usa",51.0
129084,"boise, idaho, usa",39.0
129358,"highland, california, usa",36.0
129465,"durham, north carolina, usa",33.0
129716,"tallahassee, florida, usa",30.0
129851,"philadelphia, pennsylvania, usa",35.0
130426,"walla walla, washington, usa",
130438,"yarmouth, nova scotia, canada",38.0
130474,"nashville, tennessee, usa",33.0
130571,"summerville, south carolina, usa",
131027,"portland, oregon, usa",31.0
131046,"ellington, connecticut, usa",26.0
131402,"governors bay, canterbury, new zealand",
131837,"west valley city, utah, usa",
132083,"tazewell, virginia, usa",47.0
132173,"charlotte, north carolina, usa",
133296,"ormond beach, florida, usa",23.0
133571,"olney, maryland, usa",39.0
133689,"calgary, alberta, canada",29.0
133747,"gaithersburg, maryland, usa",28.0
134247,"winfield, illinois, usa",26.0
134797,"elk grove, california, usa",
135045,"spring, texas, usa",29.0
135149,"ft. pierce, florida, usa",
135265,"groton, connecticut, usa",32.0
135458,"ottawa, ontario, canada",24.0
135831,"potomac falls, virginia, usa",
136010,"brampton, ontario, canada",
136139,"fair oaks, california, usa",
136205,"crest hill, illinois, usa",39.0
136252,"santa fe, new mexico, usa",33.0
136348,"oceanside, new york, usa",51.0
136382,"edmonton, alberta, canada",
136473,"minneapolis, minnesota, usa",
137589,"enterprise, oregon, usa",35.0
137688,"medford, new york, usa",46.0
138097,"winter park, florida, usa",35.0
138198,"edmonton, alberta, canada",37.0
138441,"merrimack, new hampshire, usa",34.0
138543,"mesquite, texas, usa",21.0
138602,"bremerton, washington, usa",36.0
138844,"winnipeg, manitoba, canada",40.0
139141,"oakland, california, usa",35.0
139742,"toronto, ontario, canada",36.0
139913,"monett, missouri, usa",54.0
140000,"london, england, united kingdom",
140036,"milford, michigan, usa",35.0
140358,"san diego, california, usa",
141444,"west springfield, massachusetts,",
141491,"westminster, maryland, usa",47.0
141493,"dove canyon, california, usa",44.0
141710,"omaha, nebraska, usa",
141901,"christchurch, canterbury, new zealand",43.0
142093,"storm lake, iowa, usa",
142121,"waipahu, hawaii, usa",33.0
142256,"winfield, alberta, canada",52.0
142524,"detroit, michigan, usa",36.0
143175,"blythewood, south carolina, usa",28.0
143253,"dyersburg, tennessee, usa",27.0
143415,"bellingham, washington, usa",50.0
143792,"nottingham, england, united kingdom",25.0
144531,"pleasanton, california, usa",37.0
144555,"northbrook, illinois, usa",37.0
145431,"lake forest, florida, usa",33.0
145449,"virginia beach, virginia, usa",
145451,"winter haven, florida, usa",63.0
145619,"middletown, connecticut, usa",36.0
145641,"madison, new jersey, usa",
146113,"cary, north carolina, usa",
146175,"orlando, florida, usa",27.0
146230,"bourbonnais, ,",49.0
146348,"tigard, oregon, usa",
146803,"n/a, n/a, usa",
147141,"portland, oregon, usa",21.0
147224,"mechanicsburg, pennsylvania, usa",41.0
147451,"herne bay, england, united kingdom",37.0
147847,"greenville, illinois, usa",
147965,"lake wales, florida, usa",
148258,"toronto, ontario, canada",
148744,"campbellsport, wisconsin, usa",67.0
149069,"struthers, ohio, usa",30.0
149084,"germantown, maryland, usa",32.0
149690,"logan city, queensland, australia",35.0
149908,"hull, england, united kingdom",29.0
149934,"chicago, illinois, usa",44.0
150124,"york, nebraska, usa",30.0
150498,"cumberland, maryland, usa",38.0
150561,"bodegraven, zuid-holland, netherlands",33.0
150968,"manchester, new hampshire, usa",47.0
150979,"greencastle, pennsylvania, usa",34.0
151107,"minneapolis, minnesota, usa",39.0
151537,"dalton, georgia, usa",33.0
151589,"portland, oregon, usa",56.0
151790,"austin, texas, usa",26.0
152186,"windsor, ontario, canada",33.0
152249,"salt lake, utah, usa",
152354,"boston, massachusetts, usa",
152946,"lisbon, lisbon, portugal",25.0
153513,"little rock, arkansas, usa",31.0
153662,"ft. stewart, georgia, usa",44.0
153718,"round lake, illinois, usa",27.0
154469,"trois-rivi�res ouest, quebec, canada",
154992,"maryland heights, missouri, usa",40.0
155014,"las cruces, new mexico, usa",
155147,"seattle, washington, usa",60.0
155219,"stamford, connecticut, usa",29.0
155495,"hood river, oregon, usa",26.0
156150,"howell, new jersey, usa",36.0
156214,"new bern, north carolina, usa",59.0
156269,"chicago, illinois, usa",53.0
156300,"pinon hills, california, usa",49.0
156467,"waltham, massachusetts, usa",38.0
157247,"deventer, overijssel, netherlands",48.0
157273,"dripping springs, texas, usa",37.0
158226,"oslo, oslo, norway",26.0
158254,"asheville, north carolina, usa",28.0
158295,"cleveland, ohio, usa",
158433,"nahant, massachusetts, usa",
159033,"taneytown, maryland, usa",46.0
159376,"mathews, ,",
159858,"atlantic beach, florida, usa",37.0
160558,"hooksett, new hampshire, usa",28.0
160735,"blaine, minnesota, usa",39.0
160819,"miami, florida, usa",43.0
161037,"milton, ,",32.0
161752,"mesa, arizona, usa",58.0
161974,"center rutland, vermont, usa",25.0
162052,"danville, virginia, usa",51.0
162590,"n/a, british columbia, canada",
162639,"kelso, washington, usa",
162738,"waterford, michigan, usa",35.0
163570,"lincoln, new brunswick, canada",50.0
163804,"bonaire, georgia, usa",43.0
163973,"s�o paulo, s�o paulo, brazil",46.0
164027,"burlington, ontario, canada",
164323,"delta, british columbia, canada",31.0
164675,"portland, oregon, usa",55.0
164828,"duncanville, alabama, usa",
165308,"new berlin, wisconsin, usa",33.0
165319,"tucson, arizona, usa",28.0
166123,"cortez, colorado, usa",32.0
166596,"greenwood, british columbia, canada",57.0
167349,"keller, texas, usa",33.0
167471,"milton, ontario, canada",29.0
167800,"olive branch, mississippi, usa",57.0
168036,"tualatin, ,",
168064,"fredericton, new brunswick, canada",
168144,"oceanside, california, usa",46.0
168245,"delisle, saskatchewan, canada",37.0
168387,"frankston, victoria, australia",32.0
169233,"chicago, illinois, usa",27.0
169663,"towson, maryland, usa",
169699,"vadnais heights, minnesota, usa",40.0
170184,"melton mowbray, england, united kingdom",51.0
170229,"chicago, illinois, usa",56.0
170415,"tacoma, washington, usa",30.0
170513,"butler, pennsylvania, usa",
170518,"gaithersburg, maryland, usa",61.0
170575,"bethlehem, pennsylvania, usa",32.0
170634,"crystal lake, illinois, usa",
170861,"hopkinton, massachusetts, usa",44.0
170947,"sheldon, iowa, usa",35.0
171078,"langley, british columbia, canada",43.0
171118,"toronto, ontario, canada",47.0
172030,"rainsville, alabama, usa",30.0
172061,"portland, oregon, usa",25.0
172512,"louisville, kentucky, usa",25.0
172742,"astoria, oregon, usa",44.0
173291,"greensboro, north carolina, usa",29.0
173415,"chicago, illinois, usa",31.0
173481,"arlington, texas, usa",69.0
173684,"chula vista, california, usa",15.0
174092,"holybourne, england, united kingdom",34.0
174216,"hamilton, ohio, usa",36.0
174304,"st. louis, missouri, usa",26.0
174726,"san diego, california, usa",
174791,"long beach, california, usa",38.0
175003,"round rock, texas, usa",33.0
175052,"chicago, illinois, usa",57.0
176667,"minot, north dakota, usa",23.0
176902,"o`fallon, missouri, usa",25.0
177072,"moberly, missouri, usa",47.0
177090,"ashland, missouri, usa",37.0
177374,"kingston, washington, usa",
177432,"wichita, kansas, usa",33.0
177458,"ottawa, ontario, canada",29.0
177690,"nottingham, maryland, usa",27.0
178181,"bloomfield hills, michigan, usa",32.0
178199,"amarillo, texas, usa",
178240,"olive branch, mississippi, usa",49.0
178522,"somerset, ,",
178667,"freehold, new jersey, usa",34.0
179718,"leroy, ,",39.0
179730,"harmony, rhode island, usa",
179733,"greenville, texas, usa",26.0
179744,"manchester, connecticut, usa",26.0
179772,"high river, alberta, canada",37.0
179978,"perry, new york, usa",28.0
180032,"brooklyn, new york, usa",
180348,"fredericksburg, virginia, usa",40.0
180586,"creston, british columbia, canada",
180651,"coventry, england, united kingdom",54.0
180957,"adelaide, south australia, australia",
181176,"st. louis, missouri, usa",43.0
181223,"windham, new hampshire, usa",
181687,"austin, texas, usa",29.0
182053,"london, ontario, canada",30.0
182085,"ginsheim, hessen, germany",
182086,"ginsheim, hessen, germany",
182442,"ithaca, new york, usa",
182746,"jacksonville, florida, usa",44.0
182987,"armentia, �lava, spain",
182993,"carneys point, new jersey, usa",40.0
183046,"toronto, ontario, canada",
183196,"peoria, illinois, usa",33.0
183995,"columbus (grandview heights), ohio, usa",49.0
184299,"omaha, nebraska, usa",31.0
184424,"dayton, ohio, usa",44.0
184513,"navarre, florida, usa",61.0
185176,"dayton, ohio, usa",37.0
185233,"winnemucca, nevada, usa",31.0
185384,"st. charles, missouri, usa",
186570,"rantoul, illinois, usa",28.0
187145,"grapeview, washington, usa",65.0
187170,"chesapeake, virginia, usa",33.0
187256,"citrus heights, california, usa",
187517,"brooklyn, new york, usa",28.0
188010,"edmonton, alberta, canada",
189334,"ottawa, ontario, canada",49.0
189516,"colorado springs, colorado, usa",37.0
189835,"honolulu, hawaii, usa",
189973,"pittsburgh, pennsylvania, usa",
190459,"schertz, texas, usa",40.0
190708,"ramona, california, usa",43.0
190741,"corpus christi, texas, usa",52.0
190925,"hobe sound, florida, usa",51.0
191187,"cedar rapids, iowa, usa",
192093,"lake worth, florida, usa",46.0
192176,"portland, oregon, usa",58.0
193458,"toronto, ontario, canada",40.0
193499,"deland, florida, usa",41.0
193676,"waterford, new york, usa",27.0
193898,"paradise, pennsylvania, usa",
194600,"toronto, ontario, canada",51.0
194669,"savannah, georgia, usa",46.0
195469,"congers, new york, usa",39.0
195694,"tucson, arizona, usa",29.0
196047,"macomb, michigan, usa",55.0
196077,"disputanta, virginia, usa",28.0
196160,"auburn, alabama, usa",22.0
196457,"seattle, washington, usa",
196466,"king of prussia, pennsylvania, usa",30.0
196738,"snellville, georgia, usa",39.0
196985,"storm lake, iowa, usa",
197364,"cumming, georgia, usa",30.0
197659,"indiana, pennsylvania, usa",49.0
197775,"iasi, iasi, romania",21.0
198046,"milwaukee, wisconsin, usa",51.0
198621,"melbourne, florida, usa",42.0
198699,"dow city, iowa, usa",49.0
198711,"little canada, minnesota, usa",62.0
199416,"houma, louisiana,",65.0
199515,"la cienega, new mexico, usa",44.0
200226,"burlington, ontario, canada",39.0
200643,"austin, texas, usa",21.0
200674,"pittsburg, missouri, usa",58.0
201017,"palmetto bay, florida, usa",36.0
201290,"seixal, set�bal, portugal",35.0
201447,"springfield, virginia, usa",40.0
201526,"vancouver, british columbia, canada",25.0
201641,"ottawa, ontario, canada",19.0
201674,"sellersville, pennsylvania, usa",28.0
201684,"austin, texas, usa",24.0
201768,"fredericton, new brunswick, canada",47.0
202277,"kennesaw, georgia, usa",54.0
203240,"st. louis, missouri, usa",32.0
203799,"menasha, wisconsin, usa",54.0
203968,"cumberland, maryland, usa",
204359,"brooklyn, new york,",40.0
204522,"mena, arkansas, usa",29.0
204591,"toronto, ontario, canada",30.0
204813,"jersey city, new jersey, usa",
204864,"simi valley, california, usa",47.0
205473,"ottawa, ontario, canada",32.0
205735,"mosinee, wisconsin, usa",26.0
205980,"west chester, pennsylvania, usa",
206074,"new britain, connecticut, usa",16.0
206534,"evanston, illinois, usa",
206567,"new orleans, louisiana, usa",33.0
206944,"camarillo, california, usa",26.0
207148,"san diego, california, usa",42.0
207246,"owensboro, kentucky, usa",28.0
207349,"seadrift, texas, usa",25.0
207499,"las cruces, new mexico, usa",
