ISBN,Title,Author,Year-Of-Publication,Publisher
0345301110,Story of O,Pauline Reage,1989,Ballantine Books
0312980140,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks
0141301155,Charlie and the Chocolate Factory (Puffin Novels),Roald Dahl,1998,Puffin Books
0525934960,The Te of Piglet,Benjamin Hoff,1992,Dutton Books
0140189645,The Crucible: A Play in Four Acts (Twentieth-Century Classics),Arthur Miller,1995,Penguin Books
044022425X,Drums of Autumn,DIANA GABALDON,1997,Dell
0440217563,Voyager,DIANA GABALDON,1994,Dell
0385319959,Outlander,Diana Gabaldon,1998,Delta
0446611778,Last Man Standing,David Baldacci,2002,Warner Vision
1853260363,Don Quixote,Miguel De Cervantes Saavedra,1997,NTC/Contemporary Publishing Company
0330244078,Tinker Tailor Soldier Spy,John le Carre,1995,Pan Macmillan
0571216420,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,2003,Faber &amp; Faber
0373441762,"One True Love? (Harlequin Flipside, No. 2)",Stephanie Doyle,2003,Harlequin
0373250479,Slightly Settled (Red Dress Ink),Wendy Markham,2004,Red Dress Ink
0312303467,Bet Me,Jennifer Crusie,2004,St. Martin's Press
014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
0425141233,Winter Prey,John Sandford,2004,Berkley Publishing Group
0671016776,Gravity : A Novel of Medical Suspense,Tess Gerritsen,2000,Pocket
0373250428,Up &amp; Out (Red Dress Ink),Ariella Papa,2003,Red Dress Ink
0743418700,Salem Falls,Jodi Picoult,2001,Atria
0425185508,Picture Perfect,Jodi Picoult,2002,Berkley Publishing Group
0140230270,Harvesting the Heart,Jodi Picoult,1995,Penguin Books
0525947914,Just One Look,Harlan Coben,2004,Dutton Books
0345452593,Therapy,Jonathan Kellerman,2004,Ballantine Books
076791404X,She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN,2003,Broadway
0440225442,One False Move (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,1999,Dell
0590136011,Twits,Roald Dahl,0,Scholastic Inc
0590426850,Bxc Blue Bay Mystery,Gertrude Cha Warner,0,Scholastic Inc
0380709562,"Ramona Quimby, Age 8 (Avon Camelot Books (Paperback))",Beverly Cleary,1992,HarperTrophy
038070952X,Ramona and Her Mother (Ramona Quimby (Paperback)),Beverly Cleary,1990,HarperTrophy
0679730346,London Fields (Vintage International),MARTIN AMIS,1991,Vintage
006001203X,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books
0375713344,Geek Love,Katherine Dunn,2002,Vintage Books USA
0451174291,Howards End,E. M. Forster,1992,Signet Book
0140293450,About a Boy,Nick Hornby,2000,Penguin Books Ltd
037540256X,A Patchwork Planet,Anne Tyler,1998,Random House Inc
0440207622,Daddy,DANIELLE STEEL,1990,Dell
0671759329,Darkest Hour (Cutler),V.C. Andrews,1993,Pocket
0399142495,Small Town Girl,LaVyrle Spencer,1997,Putnam Pub Group
0385306059,Wings,DANIELLE STEEL,1994,Delacorte Press
1400042070,The Amateur Marriage: A Novel,ANNE TYLER,2004,Knopf
0375506039,Open House,Elizabeth Berg,2000,Random House Trade
0345435028,What We Keep,Elizabeth Berg,2002,Ballantine Books
0345453816,Killjoy,Julie Garwood,2003,Ballantine Books
0345464958,The Last Girls (Ballantine Reader's Circle),LEE SMITH,2003,Ballantine Books
0743412753,No Way Out,Andrea Kane,2001,Pocket
0553583956,Safe Harbor,Luanne Rice,2003,Bantam Books
0446612804,Don't Tell,Karen Rose,2003,Warner Forever
1401300316,The Center of Everything,Laura Moriarty,2003,Hyperion
0671729411,Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket
043912042X,Esperanza Rising,Pam Munoz Ryan,2002,Scholastic Paperbacks
0060177225,Dangerous to Know,Barbara Taylor Bradford,1995,Harpercollins
0425128458,Sullivan's Sting,Lawrence Sanders,1997,Berkley Publishing Group
0553568701,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books
0425129616,The Mysterious Affair at Styles,Agatha Christie,2004,Berkley Publishing Group
0688162827,Tell Me Your Dreams,Sidney Sheldon,1998,William Morrow &amp; Company
0060083948,Tishomingo Blues,Elmore Leonard,2002,HarperTorch
2070360024,"L'Etranger (Collection Folio, 2)",Albert Camus,1990,Gallimard Jeunesse
0553213695,The Metamorphosis (Bantam Classics),FRANZ KAFKA,1972,Bantam
0446344109,Name of the Rose,Umberto Eco,1986,Warner Books
074320395X,The Body Artist : A Novel,Don DeLillo,2001,Scribner
0316788228,The Pilot's Wife,Anita Shreve,2001,"Little, Brown"
0192815326,"Frankenstein: Or, the Modern Prometheus (World's Classics)",Mary Wollstonecraft Shelley,1982,Oxford University Press
0375421815,The Crazed: A Novel,HA JIN,2002,Pantheon
0451519841,1984,George Orwell,1980,New Amer Library
006091307X,The Crying of Lot 49: A Novel (Perennial Fiction Library),Thomas Pynchon,1990,Harpercollins
0140067779,Obasan,Joy Kogawa,1983,Penguin Books
0440160677,Other Side of Midnight,Sidney Sheldon,1977,Dell Publishing Company
0061095869,Her Own Rules,Barbara Taylor Bradford,1997,HarperTorch
0345345738,Women in His Life,Barbara Taylor Bradford,1994,Ballantine Books
0441172717,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
0375803483,Count Karlstein,Philip Pullman,2000,Yearling Books
0446342963,Dreamer's Dictionary,Tom Corbett,1986,Warner Books
0553569902,Lion's Bride,IRIS JOHANSEN,1996,Bantam
0553574116,Wicked Widow,Amanda Quick,2001,Bantam Books
0385479484,The Short History of a Prince: A Novel,Jane Hamilton,1999,Anchor Books/Doubleday
1573223328,"Across the Nightingale Floor (Tales of the Otori, Book One)",Lian Hearn,2003,Riverhead Books
0399142614,The List,Steven Paul Martini,1997,Putnam Pub Group
0553232320,Road to Gandolfo,Robert Ludlum,1982,Bantam Doubleday Dell
0743246071,The Queen's Fool : A Novel,Philippa Gregory,2004,Touchstone
0743417682,From a Buick 8,Stephen King,2003,Pocket Books
0385507593,Jennifer Government : A Novel,Max Barry,2003,Doubleday
0345441036,Black House,Stephen King,2002,Ballantine Books
0553281747,Mona Lisa Overdrive (Bantam Spectra Book),William Gibson,1989,Bantam
006109398X,The Treasure Box,Orson Scott Card,1997,HarperTorch
156947012X,The Liar,Stephen Fry,1994,Soho Press
157322202X,The Dream of Scipio,Iain Pears,2002,Riverhead Books
037541200X,Blood Canticle (The Vampire Chronicles),ANNE RICE,2003,Knopf
0553278274,A Night to Remember,WALTER LORD,1997,Bantam
0553571885,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam
014034294X,Matilda,Roald Dahl,1990,Puffin Books
0385333137,Black and Blue (Oprah's Book Club),ANNA QUINDLEN,2000,Delta
034538430X,TickTock,Dean R. Koontz,1997,Ballantine Books
0553576801,The Perfect Husband,LISA GARDNER,1997,Bantam
1551668637,New Attitude,Charlotte Hughes,2001,Mira
0060169281,Soul Mates: Honoring the Mysteries of Love and Relationship,Thomas Moore,1994,Harpercollins
1551666952,The Falls,Karen Harper,2003,Mira
0553285785,Public Secrets,Nora Roberts,1990,Bantam
0373484410,Time And Again,Nora Roberts,2001,Silhouette
0061031089,Running Scared,Elizabeth Lowell,2003,Avon Books
0446608378,Thunderhead,Douglas Preston,2000,Warner Books
0449001962,"Murder in Foggy Bottom (Truman, Margaret, Capital Crimes Series.)",Margaret Truman,2002,Fawcett Books
0385323921,The Klone and I: A High-Tech Love Story,Danielle Steel,1998,Delacorte Press
1551668440,Snowfall,Sharon Sala,2001,Mira
0451201906,Storm,Boris Starling,2000,Signet Book
0451193288,Reckless Endangerment,Robert K. Tanenbaum,1999,Signet Book
0553578022,The Face of Deception,Iris Johansen,1999,Bantam Books
0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books
0440215900,Walking After Midnight,KAREN ROBARDS,1995,Dell
0380818760,Beautiful Dreamer,Elizabeth Lowell,2001,Avon
0446605883,With Song,Dorothy Garlock,1999,Warner Books
0590434985,Jacob Have I Loved,Katherine Paterson,0,Scholastic Inc
0671739670,"LIFE, THE UNIVERSE AND EVERYTHING (Hitchhiker's Trilogy (Paperback))",Douglas Adams,1991,Pocket
0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone
0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
0345433491,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,1999,Ballantine Books
0671793888,Cowboys Are My Weakness,Pam Houston,1993,Washington Square Press
0679769447,What Girls Learn,Karin Cook,1998,Vintage Books USA
1558743316,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications
0345381432,Dreaming in Cuban,CRISTINA GARCIA,1993,Ballantine Books
0553375067,Emotional Intelligence : Why It Can Matter More Than IQ,Daniel Goleman,1997,Bantam
0671452177,WLD ACCORDNG GARP,John Irving,1982,Pocket
0553275976,The Bonfire of the Vanities,Tom Wolfe,1988,Bantam Books
0140092323,Lake Wobegon days,Garrison Keillor,1986,Penguin Books
0345387813,Power Play,Anne McCaffrey,1996,Del Rey Books
0553564404,Finnegan's Week,Joseph Wambaugh,1996,Bantam Books
0553562398,Rest in Pieces (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1993,Bantam
0553287532,Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1991,Bantam
0425191583,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
0449207145,My Name Is Asher Lev,Chaim Potok,1990,Fawcett Books
0684717603,The GREAT GATSBY (Scribner Classic),F. Scott Fritzgerald,1920,Scribner Paper Fiction
0671434225,CONTACT,Carl Sagan,1986,Pocket
0671742949,UNDER SIEGE,Stephen Coonts,1991,Pocket
0553582127,The Search,Iris Johansen,2001,Bantam Books
0425169685,Flight of Eagles,Jack Higgins,1999,Berkley Publishing Group
0425132625,Sky Masters,Dale Brown,1996,Berkley Publishing Group
0440225817,Acts of Malice,Perri O'Shaughnessy,2000,Island
0312982615,Robert Ludlum's The Paris Option : A Covert-One Novel (A Covert-One Novel),Robert Ludlum,2003,St. Martin's Paperbacks
0553578308,Tough Cookie,Diane Mott Davidson,2001,Bantam Books
0553578359,Chopping Spree,Diane Mott Davidson,2003,Bantam Books
1853260061,Portrait of the Artist As a Young Man (Wordsworth Classics),James Joyce,1997,NTC/Contemporary Publishing Company
0440901588,A Swiftly Tilting Planet,Madeleine L'Engle,1979,Laure Leaf
0425146421,The Wizard's Daughter,Barbara Michaels,1995,Berkley Publishing Group
068419337X,SHIPPING NEWS,Annie Proulx,1993,Scribner
0380792028,Glorious Angel,Johanna Lindsey,2002,Avon
0821770195,Charming Lily (Zebra Books),Fern Michaels,2001,Zebra Books
0517593343,Spring Collection,Judith Krantz,1996,Random House Inc
051513225X,Pendragon,Catherine Coulter,2002,Jove Books
0886773490,"The Star Scroll (Dragon Prince, Book 2)",Melanie Rawn,1994,Daw Books
0515129933,The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,Jove Books
051512088X,Rosehaven,Catherine Coulter,2000,Jove Books
0345387805,Power Lines,Anne McCaffrey,1996,Del Rey Books
0345316002,Killashandra,Anne McCaffrey,1993,Del Rey Books
0441004326,"Archangel (Samaria Trilogy, Book 1)",Sharon Shinn,1997,Ace Books
0425179648,Marrying the Mistress,Joanna Trollope,2001,Berkley Publishing Group
0671657860,"Many Lives, Many Masters",Brian L. Weiss,1988,Fireside
0515103292,When Rabbit Howls,Truddi Chase,1990,Jove Books
0345422406,Merrick (Vampire/Witches Chronicles),Anne Rice,2001,Ballantine Books
0140345353,The Devil's Arithmetic,Jane Yolen,1990,Puffin Books
0671644475,The Conquest,Jude Deveraux,1991,Pocket
0865470561,Mrs. Bridge : A Novel,Evan S. Connell,1990,North Point Press
1551668122,Night Of The Black Bird,Heather Graham,2001,Mira
1860461670,Miss Smilla's Feeling for Snow,Peter Hoeg,2000,Havill Pr
0451190548,The Green Mile: Coffey's Hands (Green Mile Series),Stephen King,1996,Signet Book
0671553046,Life Support,Tess Gerritsen,1998,Pocket
043942089X,The Thief Lord,Cornelia Funke,2003,Chicken House
0425176045,Falling Bodies,Andrew Mark,2000,Berkley Publishing Group
0061094234,Dirt,Stuart Woods,1997,HarperTorch
0061099805,Swimming to Catalina,Stuart Woods,1998,HarperTorch
0061093491,Dead in the Water,Stuart Woods,1998,HarperTorch
0061090808,New York Dead,Stuart Woods,1992,HarperTorch
1551668254,Road Taken,Rona Jaffe,2001,Mira
0140318909,Boy: Tales of Childhood (Puffin Story Books),Roald Dahl,1991,Penguin USA
0553269216,Rainbow Valley (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,1985,Starfire
0440220653,The Face on the Milk Carton,Caroline B. Cooney,1991,Laure Leaf
0064405842,"Catherine, Called Birdy (Trophy Newbery)",Karen Cushman,1995,HarperTrophy
0060987324,Girlfriend in a Coma,Douglas Coupland,1999,Regan Books
0449225313,The Mark of the Assassin,Daniel Silva,1999,Fawcett Books
0609603825,The Forest,EDWARD RUTHERFURD,2000,Crown
0765349671,The Da Vinci Legacy,Lewis Perdue,2004,Tor Books
0425192733,Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Patricia Cornwell,2003,Berkley Publishing Group
0060525460,The Beachcomber,Josephine Cox,2003,Avon
0449206246,The Wheel of Fortune,Susan Howatch,1990,Fawcett Books
155166285X,If Looks Could Kill,Heather Graham Pozzessere,1997,Mira
0553575104,In Pursuit of the Proper Sinner,Elizabeth George,2000,Bantam Books
0451403703,The Hangman's Beautiful Daughter,Sharyn McCrumb,1993,Onyx Books
0812589718,Daughter of God,Lewis Perdue,2001,Forge Books
0449222713,Black Opal,VICTORIA HOLT,1994,Ivy Books
0449215482,The Silk Vendetta,Victoria Holt,1988,Ivy Books
0345327454,Thai Horse,William Diehl,1997,Ballantine Books
0688084923,"Morning, Noon, and Night",Sidney Sheldon,1995,William Morrow &amp; Company
0440235146,A Sudden Change of Heart,Barbara Taylor Bradford,1999,Dell Publishing Company
0671496107,Immortal Poems of the English Language,Oscar Williams,1983,Pocket
055321246X,Walden and Other Writings,HENRY DAVID THOREAU,1983,Bantam
0671522647,GUMP &amp; CO.,Winston Groom,1996,Pocket
0525941908,The Regulators,Richard Bachman,1996,Dutton Books
0767915054,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,2002,Broadway Books
0842365826,And the Shofar Blew (Moving Fiction),Francine Rivers,2003,Tyndale House Publishers
0452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books
0446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever
0671759299,My Girl: A Novel,Patricia Hermes,1991,Simon Spotlight Entertainment
0553269151,Inherit the Wind,JEROME LAWRENCE,1982,Bantam
0440111498,Cat's Cradle,Kurt Vonnegut,1997,Dell Publishing Company
0553286587,Rama II: The Sequel to Rendezvous with Rama,Arthur C. Clarke,1990,Bantam
0515121495,The List,Steven Paul Martini,1997,Jove Books
0425132951,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group
0380759470,Xanth 13: Isle of View,Piers Anthony,1990,Eos
0811821706,The Bad Girl's Guide to the Open Road,Cameron Tuttle,1999,Chronicle Books
1558747613,"Chicken Soup for the Teenage Soul III : More Stories of Life, Love and Learning (Chicken Soup for the Soul)",Jack Canfield,2000,HCI Teens
0679755330,A Raisin in the Sun,LORRAINE HANSBERRY,1994,Vintage
0425083896,"Books of Blood, Vol. 1",Clive Barker,1994,Berkley Publishing Group
0451525795,My Antonia (Signet Classic),Willa Cather,1994,Signet Book
0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
0425166392,Guilty Pleasures,Lawrence Sanders,1998,Berkley Publishing Group
1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
0425176932,"Breaking Point (Tom Clancy's Net Force, No. 4)",Steve Perry,2000,Berkley Publishing Group
0425117383,At Risk,Alice Hoffman,1989,Berkley Publishing Group
0060090375,Lucy Sullivan Is Getting Married,Marian Keyes,2002,Perennial
1582343047,How to Cook a Tart,Nina Killham,2003,Bloomsbury USA
0399139745,Wild Horses,Dick Francis,1994,Putnam Pub Group
0140143505,84 Charing Cross Road,Helene Hanff,1990,Penguin Books
0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
0553289691,SKINNY LEGS AND ALL,TOM ROBBINS,1991,Bantam
0140042407,Tortilla Flat,John Steinbeck,1995,Penguin Books
0812550757,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
067087311X,Icy Sparks,Gwynn Rubio,1998,Viking Books
0679721886,The Woman Warrior : Memoirs of a Girlhood Among Ghosts,MAXINE HONG KINGSTON,1989,Vintage
0451187849,We the Living,Ayn Rand,1996,Signet Book
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book
0525946829,Quentins,Maeve Binchy,2002,Dutton Books
0590060198,The BFG,Roald Dahl,1982,Scholastic Inc.
0671736809,"GRADUATION (FINAL FRIENDS 3) : GRADUATION (Final Friends, No 3)",Christopher Pike,1991,Simon Pulse
3423202327,M�?¶rder ohne Gesicht.,Henning Mankell,1999,Dtv
0312986343,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004,St. Martin's Paperbacks
0425125467,Harmful Intent,Robin Cook,2001,Berkley Publishing Group
0446530077,Find Me,Rosie O'Donnell,2002,Warner Books
0373711735,"The Road To Echo Point (Harlequin Superromance, 1173)",Carrie Weaver,2003,Harlequin
0875421245,The Magical Household: Spells &amp; Rituals for the Home (Llewellyn's Practical Magick Series),Scott Cunningham,1987,Llewellyn Publications
0451178599,Needful Things,Stephen King,1993,New Amer Library
0451128370,Christine,Stephen King,1983,Penguin Putnam~mass
0451170385,Four Past Midnight,Stephen King,2001,Signet Book
0156006847,The Fencing Master: A Novel,Arturo Pérez-Reverte,2000,Harvest Books
0446527297,The Millionaires,Brad Meltzer,2002,Warner Books
0425151875,Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,1996,Berkley Publishing Group
0373218958,Less Of A Stranger (Silhouette Single Title),Nora Roberts,2003,Silhouette
0425182843,Edge of Danger,Jack Higgins,2002,Berkley Publishing Group
0486406539,Siddhartha (Dover Thrift Editions),Hermann Hesse,1999,Dover Publications
0812550749,Firebird,Mercedes Lackey,1997,Tor Books
0670031720,Drop City,T. Coraghessan Boyle,2003,Viking Books
0679742115,Vox: A Novel,Nicholson Baker,1995,Vintage Books USA
0345463153,The Fourth Hand,JOHN IRVING,2003,Fawcett
0312991460,To the Nines (A Stephanie Plum Novel),Janet Evanovich,2004,St. Martin's Paperbacks
0142001325,Our Lady of the Lost and Found: A Novel,Diane Schoemperlen,2002,Penguin Books
0385501412,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Doubleday
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers
0451182960,Too Many Crooks Spoil the Broth: A Pennsylvania-Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Tamar Myers,1995,Signet Book
0449002985,Your Oasis on Flame Lake (Ballantine Reader's Circle),LORNA LANDVIK,1998,Ballantine Books
0395859972,The Blue Flower,Penelope Fitzgerald,1997,Mariner Books
0671727583,Smart Women,Judy Blume,1990,Pocket Books
0060176156,Up Island,Anne Rivers Siddons,1997,HarperCollins Publishers
0440159008,Motherhood the Second Oldest Profession,Erma Bombeck,0,Bantam Doubleday Dell
0440212561,Outlander,DIANA GABALDON,1992,Dell
0821769278,Plain Jane,Fern Michaels,2002,Zebra Books
0486264645,Heart of Darkness (Dover Thrift Editions),Joseph Conrad,1990,Dover Publications
0451402065,Earth Song,Catherine Coulter,1990,Onyx Books
0515133302,Hemlock Bay,Catherine Coulter,2002,Jove Books
1551668432,Texas Ranger,Diana Palmer,2001,Mira
0451198948,"Warrior's Song (Coulter, Catherine. Medieval Song Quartet, 4.)",Catherine Coulter,2004,Signet Book
0821767852,Yesterday,Fern Michaels,2001,Zebra Books
0771014899,Verdict in Blood (Joanne Kilbourn Mysteries (Paperback)),GAIL BOWEN,1999,McClelland &amp; Stewart
0684801051,TIME AND AGAIN,Jack Finney,1995,Touchstone
039914840X,Three Fates,Nora Roberts,2002,Putnam Publishing Group
0684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner
0446532452,The Wedding,Nicholas Sparks,2003,Warner Books
0140449124,Madame Bovary,Gustave Flaubert,2003,Penguin Books
0446520659,The Lion's Game,Nelson DeMille,2000,Warner Books
0061091561,L.A. Times,Stuart Woods,1994,HarperTorch
0061030996,Hit List,Lawrence Block,2002,HarperTorch
0140430148,The Moonstone (Penguin Classics),Wilkie Collins,1966,Penguin Books
0020198817,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald,1992,Scribner Paper Fiction
0812520475,Eon : A Novel (Eon),Greg Bear,1991,Tor Science Fiction
0425173534,Ssn,Tom Clancy,2000,Berkley Publishing Group
042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group
0425108937,Flight of the Old Dog,Dale Brown,1993,Berkley Publishing Group
0312140908,The Invisible Circus : A Novel,Jennifer Egan,1996,Picador
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
0345432401,Omerta,Mario Puzo,2001,Ballantine Books
0671798782,DIANA: HER TRUE STORY : DIANA: HER TRUE STORY,Andrew Morton,1992,Pocket
0060973617,Up the Down Staircase,Bel Kaufman,1991,Perennial
0452283027,Farm Fatale: A Comedy of Country Manors,Wendy Holden,2002,Plume Books
0425187055,"Tom Clancy's Power Plays: Cutting Edge (Power Plays, 6)",Tom Clancy,2002,Berkley Publishing Group
0446607258,Mythology : Timeless Tales of Gods and Heroes,Edith Hamilton,1999,Warner Books
0375760903,The Coffee Trader : A Novel (Ballantine Reader's Circle),DAVID LISS,2004,Ballantine Books
1573229377,Anger: Wisdom for Cooling the Flames,Nhat Hanh,2002,Penguin USA (Paper)
0375726349,The Human Stain : A Novel,PHILIP ROTH,2001,Vintage
0399151648,Kate Remembered,A. Scott Berg,2003,Putnam Publishing Group
0373250274,See Jane Date,Melissa Senate,2003,Red Dress Ink
0345469674,Girls' Poker Night,JILL DAVIS,2004,Ballantine Books
0312966806,Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press
0446692298,Fat Girls and Lawn Chairs,Cheryl Peck,2004,Warner Books
0007106572,Guilty Creatures,Sue Welfare,2001,HarperCollins
0451188543,No Use Dying over Spilled Milk: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Tamar Myers,1997,Signet Book
1551667436,Strange Bedpersons,Jennifer Crusie,2003,Mira
0446613053,The Crush,Sandra Brown,2003,Warner Books
0380819651,Tiles and Tribulations (Den of Antiquity Mysteries),Tamar Myers,2003,Avon
0451207475,The Chocolate Bear Burglary: A Chocoholic Mystery (Chocoholic Mysteries),Joanna Carl,2002,Signet Book
0671735934,Honey Moon,Susan Elizabeth Phillips,1993,Pocket
075820230X,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,2001,Kensington Publishing Corporation
055357258X,The Last Suppers,DIANE MOTT DAVIDSON,1995,Crimeline
0451192311,Eat Drink and Be Wary: A Pennsylvania Dutch Mystery With Recipes (PennDutch Mysteries),Tamar Myers,1998,Signet Book
0688177859,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000,Perennial
0446607274,Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly,2000,Warner Books
0486266842,Turn of the Screw (Dover Thrift Editions),Henry James,1991,Dover Publications
0553211439,A Connecticut Yankee in King Arthur's Court (Bantam Classic),Mark Twain,1994,Bantam Books
0553573136,Couplehood,PAUL REISER,1995,Bantam
0140440038,The Theban Plays (Penguin Classics),Sophocles,1970,Penguin Books
0385302320,Voyager,DIANA GABALDON,1993,Delacorte Press
0140075623,Stones for Ibarra (Penguin Contemporary American Fiction Series),Harriet Doerr,1988,Penguin Books
0060916338,House Made of Dawn (Perennial Library),N. Scott Momaday,1989,Harpercollins
0451204530,Code to Zero,Ken Follett,2001,Signet Book
006098824X,Getting Over It,Anna Maxted,2001,Regan Books
0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,Perennial
0679401385,Mr. X,Peter Straub,1999,Random House Trade
0515116068,Hidden Riches,Nora Roberts,2004,Jove Books
0670818577,Wlt: A Radio Romance,Garrison Keillor,1991,Penguin USA
0312926294,The Carousel,Rosamunde Pilcher,1991,St. Martin's Press
0679879242,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996,Knopf Books for Young Readers
0451203054,Praying for Sleep,Jeffrey Deaver,2001,Signet Book
0451184734,Blood Relations,Barbara Parker,1997,Signet Book
0316779989,Holidays on Ice: Stories,David Sedaris,1997,"Little, Brown"
0446603716,Hide &amp; Seek,James Patterson,1996,Warner Books
0380726289,"Darkness, Take My Hand (Patrick Kenzie/Angela Gennaro Novels)",Dennis Lehane,1997,HarperTorch
0440193613,Wanderlust,Danielle Steel,1987,Dell
0743418166,Good in Bed,Jennifer Weiner,2001,Atria
0440235774,Looking Back,Belva Plain,2002,Dell Publishing Company
0061094404,Power of a Woman,Barbara Taylor Bradford,1998,HarperTorch
0515133418,Summer in Eclipse Bay,Jayne Ann Krentz,2002,Jove Books
0743460529,Daddy's Little Girl,Mary Higgins Clark,2003,Pocket
0140386335,The Neverending Story,Michael Ende,1996,Puffin Books
0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin
0373825021,"Tyler #2 Bright Hopes (Tyler, No. 2)",Pat Warren,1992,Harlequin
0449148408,False Prophet: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1994,Fawcett Books
0345359321,Travels,Michael Crichton,1989,Ballantine Books
0140131612,Lake Wobegon Days (Wisconsin),Garrison Keillor,1995,Penguin Books
0446609951,The Letter of the Law,Tim Green,2001,Warner Books
0451157443,Carrie,Stephen King,1994,Signet Book
0060175680,Switcheroo,Olivia Goldsmith,1998,HarperCollins Publishers
0671867083,REMEMBER ME,Mary Higgins Clark,1994,Simon &amp; Schuster
0446605360,Twanged,Carol Higgins Clark,1999,Warner Books
0671741209,Stranger Is Watching,Mary Higgins Clark,1991,Pocket
0380790025,Death in Lovers' Lane (Henrie O Mysteries (Paperback)),Carolyn Hart,1998,Avon
0671880314,Schindler's List,Thomas Keneally,1993,Touchstone
038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
0451209486,Killer Hair,Ellen Byerrum,2003,Signet Book
0446513067,The General's Daughter,Nelson DeMille,1992,Warner Books
038549730X,The Vine of Desire: A Novel,Chitra Banerjee Divakaruni,2003,Anchor Books/Doubleday
0446391581,A Whack on the Side of the Head: How You Can Be More Creative,Roger von Oech,1990,Warner Books
0812967240,It's My F---ing Birthday : A Novel,MERRILL MARKOE,2002,Villard
0061096644,Underboss: Sammy the Bull Gravano's Story of Life in the Mafia,Peter Maas,1997,HarperTorch
0804105146,My Secret History,Paul Theroux,1990,Ivy Books
1551665301,Book Club,Mary Alice Monroe,1999,Mira
0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1993,HarperCollins Publishers
0380756234,Night Storm,Catherine Coulter,1990,Avon
