isbn,title,authors,publication_year,average_rating,ratings_count
316160199,"New Moon (Twilight, #2)",Stephenie Meyer,2006,3.52,1149630
60513039,Where the Sidewalk Ends,Shel Silverstein,1974,4.29,1016888
1416914285,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,4.12,1154031
316160202,"Eclipse (Twilight, #3)",Stephenie Meyer,2007,3.69,1134511
375826696,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002,3.86,1104021
345391802,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,4.2,936782
60929871,Brave New World,Aldous Huxley,1932,3.97,1022601
031606792X,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008,3.7,1070245
142001740,The Secret Life of Bees,Sue Monk Kidd,2001,4.01,916189
142437174,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,3.8,953758
64410935,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952,4.15,1064521
1400032717,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,3.85,867553
1594633665,The Girl on the Train,Paula Hawkins,2015,3.88,1008778
679879242,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,3.94,953970
393978893,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,3.82,899195
743454537,My Sister's Keeper,Jodi Picoult,2004,4.06,863879
385333846,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969,4.06,846488
446675539,Gone with the Wind,Margaret Mitchell,1936,4.28,873981
1594489505,A Thousand Splendid Suns,Khaled Hosseini,2007,4.34,818742
671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,4.21,888806
7442912,"Insurgent (Divergent, #2)",Veronica Roth,2012,4.07,836362
812550706,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985,4.3,813439
141439475,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,3.75,808589
450040186,The Shining (The Shining #1),Stephen King,1977,4.17,791850
316068047,"The Host (The Host, #1)",Stephenie Meyer,2008,3.84,749780
142402516,Looking for Alaska,John Green,2005,4.09,783470
014028009X,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,3.75,736498
141439661,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811,4.06,738894
439244196,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998,3.93,747445
307275558,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,3.7,665930
143039954,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,3.73,670326
156012197,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,4.28,738757
074324754X,The Glass Castle,Jeannette Walls,2005,4.24,621099
385486804,Into the Wild,Jon Krakauer,1996,3.94,647684
141439602,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,3.81,637412
030734813X,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990,3.96,447833
60256656,The Giving Tree,Shel Silverstein,1964,4.38,702332
385338600,A Time to Kill,John Grisham,1989,4.03,597775
374500010,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958,4.3,691231
014241493X,Paper Towns,John Green,2008,3.88,461311
345418263,The Princess Bride ,William Goldman,1973,4.25,628637
014038572X,The Outsiders,S.E. Hinton,1967,4.06,659248
385737947,"The Maze Runner (Maze Runner, #1)",James Dashner,2009,4.02,719925
61234001,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005,3.93,524191
517189607,The Secret Garden,Frances Hodgson Burnett,1911,4.12,639357
60531045,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967,4.04,490565
375751513,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891,4.06,590014
345803507,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012,3.88,387290
393970124,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897,3.98,618973
307269981,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",2006,4.22,563994
1612130585,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,3.87,552059
60786507,The Poisonwood Bible,Barbara Kingsolver,1998,4.02,546502
349113912,Me Talk Pretty One Day,David Sedaris,2000,3.97,495736
99408392,Where the Wild Things Are,Maurice Sendak,1963,4.22,620618
140449264,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844,4.21,555822
307265439,The Road,Cormac McCarthy,2006,3.95,504793
7524277,"Allegiant (Divergent, #3)",Veronica Roth,2013,3.63,463257
446693804,A Walk to Remember,Nicholas Sparks,1999,4.15,546948
440241413,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,3.61,543658
451525264,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,4.14,513407
553381695,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998,4.4,523303
143037145,The Memory Keeper's Daughter,Kim Edwards,2005,3.64,501430
670026603,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,4.27,587647
684833395,Catch-22,Joseph Heller,1961,3.98,563265
751529818,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997,4.06,556518
312422156,Middlesex,Jeffrey Eugenides,2002,3.98,488243
143039563,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876,3.89,555359
440498058,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962,4.04,615907
143038095,The Joy Luck Club,Amy Tan,1989,3.9,515090
038549081X,The Handmaid's Tale,Margaret Atwood,1985,4.06,607889
385729332,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001,3.75,525706
60987103,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995,3.52,506900
582418275,"The Firm (Penguin Readers, Level 5)",John Grisham,1991,3.99,488269
316098337,Room,Emma Donoghue,2010,4.03,511360
521618746,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600,4,515820
340839937,Dune (Dune Chronicles #1),Frank Herbert,1965,4.19,485032
316346624,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,3.92,490504
1451648537,Steve Jobs,Walter Isaacson,2011,4.09,560715
451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,4.18,491642
684830493,The Old Man and the Sea,Ernest Hemingway,1952,3.73,520630
142000663,The Grapes of Wrath,John Steinbeck,1939,3.92,322321
1401308589,The Five People You Meet in Heaven,Mitch Albom,2003,3.9,449501
451528824,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,4.23,502247
1416914307,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009,4.34,593173
055357342X,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000,4.54,469022
006075995X,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,3.79,465676
440242940,"Outlander (Outlander, #1)",Diana Gabaldon,1991,4.2,515547
142437263,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,3.37,509883
1594744769,"Miss Peregrines Home for Peculiar Children (Miss Peregrines Peculiar Children, #1)",Ransom Riggs,2011,3.89,613674
030726999X,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007,4.2,443951
804139024,The Martian,Andy Weir,2012,4.39,423344
451207149,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989,4.29,462517
1476746583,All the Light We Cannot See,Anthony Doerr,2014,4.31,470001
1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,4.4,487775
671027387,Deception Point,Dan Brown,2001,3.67,455610
316055433,The Goldfinch,Donna Tartt,2013,3.87,396756
1595141715,Thirteen Reasons Why,Jay Asher,2007,4.02,463783
452287022,Girl with a Pearl Earring,Tracy Chevalier,1999,3.85,467577
525421033,"If I Stay (If I Stay, #1)",Gayle Forman,2009,3.96,503527
312353766,The Red Tent,Anita Diamant,1997,4.16,424981
786856866,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006,4.23,514932
446528056,Dear John,Nicholas Sparks,2006,4.01,441062
1416914293,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008,4.21,541117
743477103,Macbeth,William Shakespeare,1606,3.88,496018
618346260,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,1954,4.42,480446
031232118X,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,2004,3.83,403601
394800168,Green Eggs and Ham,"Dr. Seuss, ??? ????",1960,4.29,457475
142403881,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964,4.1,453959
1423101464,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008,4.39,508214
192833596,Great Expectations,Charles Dickens,1860,3.75,459247
345339738,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955,4.51,463959
142311339X,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,2010,4.35,271576
1250012570,Eleanor & Park,Rainbow Rowell,2013,4.11,514312
055358202X,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005,4.1,428186
525423648,"Matched (Matched, #1)",Ally Condie,2010,3.68,511815
747263744,"American Gods (American Gods, #1)",Neil Gaiman,2001,4.11,378019
385199570,The Stand,"Stephen King, Bernie Wrightson",1978,4.34,438832
446547565,The Last Song,Nicholas Sparks,2008,4.14,424637
552151696,Digital Fortress,Dan Brown,1998,3.6,423019
141439580,Emma,"Jane Austen, Fiona Stafford",1815,3.99,459826
345803922,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,4.02,297472
393312836,A Clockwork Orange,Anthony Burgess,1962,3.98,431195
964729237,The Shack,William Paul Young,2007,3.74,419539
739380338,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,2009,4.5,397500
451169514,It,Stephen King,1986,4.18,292592
143058142,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",1866,4.18,380903
61148512,The Bell Jar,Sylvia Plath,1963,3.98,401605
7205236,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,1996,4.07,392103
553208845,Siddhartha,"Hermann Hesse, Hilda Rosner",1922,3.99,372099
679745580,In Cold Blood,Truman Capote,1965,4.05,381652
316042676,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",2009,3.76,436093
1416975861,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,4.33,490890
141301066,Matilda,"Roald Dahl, Quentin Blake",1988,4.29,440743
385534639,The Night Circus,Erin Morgenstern,2011,4.03,429543
743227441,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001,4.04,381080
689865384,"Uglies (Uglies, #1)",Scott Westerfeld,2005,3.86,449073
618640150,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955,4.47,389054
307592731,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,3.96,379872
930289234,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987,4.35,398018
075640407X,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007,4.55,400101
316017922,Outliers: The Story of Success,Malcolm Gladwell,2008,4.11,353011
142437247,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",1851,3.46,358050
385340990,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",2008,4.12,393626
393327345,Fight Club,Chuck Palahniuk,1996,4.2,365349
441008534,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,3.96,420764
671727796,The Color Purple,Alice Walker,1982,4.17,376766
739461192,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,2005,4.12,367304
312330871,And Then There Were None,Agatha Christie,1939,4.23,408983
385504225,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,2009,3.66,369428
1416989412,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009,4,448166
1561797464,A Christmas Carol,Charles Dickens,1843,4.02,394540
345476875,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,3.97,372566
62059939,"The Selection (The Selection, #1)",Kiera Cass,2012,4.15,505340
312362080,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994,4.03,391007
1400052173,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,4.04,377249
99446782,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,1988,4.14,351107
159514174X,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,4.14,248283
316010669,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005,3.89,348196
038572179X,Atonement,Ian McEwan,2001,3.88,347006
553213695,The Metamorphosis,"Franz Kafka, Stanley Corngold",1915,3.78,364933
141382899,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007,4.33,446668
030788743X,Ready Player One,Ernest Cline,2011,4.31,349423
1554681723,The Art of Racing in the Rain,Garth Stein,2006,4.19,327409
739303406,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",2003,3.98,309385
425263908,"Bared to You (Crossfire, #1)",Sylvia Day,2012,4.19,222678
66238501,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",1956,4.24,376385
316043133,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,,4.23,291411
1558743669,A Child Called "It" (Dave Pelzer #1),Dave Pelzer,1995,4.08,311543
752864327,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,1980,3.98,327122
786817879,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,2001,3.82,386923
385738935,"Fallen (Fallen, #1)",Lauren Kate,2009,3.74,395296
142000655,East of Eden,John Steinbeck,1952,4.35,320919
307341569,Dark Places,Gillian Flynn,2009,3.92,333452
385339089,The Client,John Grisham,1993,3.97,320083
312291639,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",2002,3.4,323762
451527747,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",1865,4.06,340920
192802631,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,4.13,365425
312370830,Sarah's Key,Tatiana de Rosnay,2007,4.14,312444
452284694,"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.99,332494
140003468X,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",1985,3.89,283806
014131088X,Speak,Laurie Halse Anderson,1999,4,360156
399159347,The Husband's Secret,Liane Moriarty,2013,3.92,232106
385494785,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997,4.11,291258
1416524304,Carrie,Stephen King,1974,3.93,356814
031242227X,Running with Scissors,Augusten Burroughs,2002,3.7,293878
307346609,World War Z: An Oral History of the Zombie War,Max Brooks,2006,4.01,312969
385537859,"Inferno (Robert Langdon, #4)",Dan Brown,2013,3.8,287533
440227534,Number the Stars,Lois Lowry,1989,4.11,333638
446692638,"Along Came a Spider (Alex Cross, #1)",James Patterson,1993,4.08,311499
450417395,Misery,Stephen King,1987,4.11,334647
307341542,Sharp Objects,Gillian Flynn,2006,3.92,207889
439366771,Bridge to Terabithia,Katherine Paterson,1977,3.98,337644
312360266,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",2007,3.79,360044
743269519,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1989,4.05,314700
743477545,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,3.94,334241
618711651,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,3.97,294726
375869026,Wonder,R.J. Palacio,2012,4.43,228538
039480001X,The Cat in the Hat,Dr. Seuss,1957,4.15,314016
312641893,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,4.15,427663
316206849,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",2013,3.83,297712
545123267,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009,3.78,356625
452011876,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957,3.68,283295
143038257,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",2006,3.64,283516
517223627,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,4.03,343252
143034901,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",2001,4.24,263685
385738757,"The Scorch Trials (Maze Runner, #2)",James Dashner,2010,3.93,305643
767900383,Under the Tuscan Sun,Frances Mayes,1996,3.72,279264
399167064,Big Little Lies,Liane Moriarty,2014,4.2,306186
590920685,Ella Enchanted,Gail Carson Levine,1997,3.97,339117
743297334,The Sun Also Rises,Ernest Hemingway,1926,3.83,284988
61120073,A Tree Grows in Brooklyn,Betty  Smith,1943,4.24,291909
446677388,"Kiss the Girls (Alex Cross, #2)",James Patterson,1995,3.93,274639
312577222,The Nightingale,Kristin Hannah,2015,4.54,253606
1400078776,Never Let Me Go,Kazuo Ishiguro,2005,3.8,294123
786890754,P.S. I Love You,Cecelia Ahern,2003,4.01,262921
1844080382,Rebecca,"Daphne du Maurier, Sally Beauman",1938,4.2,177384
156030306,Flowers for Algernon,Daniel Keyes,1966,4.07,313044
552995878,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,3.94,263199
812968069,Snow Flower and the Secret Fan,Lisa See,2005,4.05,280475
451205766,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",1969,4.36,256480
525476881,An Abundance of Katherines,John Green,2006,3.63,312754
553803719,Foundation (Foundation #1),Isaac Asimov,1951,4.13,279688
62255657,The Ocean at the End of the Lane,Neil Gaiman,2013,3.99,293844
60513063,A Light in the Attic,Shel Silverstein,1981,4.34,297861
751565350,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",2016,3.75,270603
61726834,"Delirium (Delirium, #1)",Lauren Oliver,2011,3.99,256975
385339704,The Pelican Brief,John Grisham,1992,3.95,288376
61139378,Coraline,Neil Gaiman,2002,4.03,316379
60853980,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",1990,4.25,298304
140042598,On the Road,Jack Kerouac,1955,3.64,246602
1476729085,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013,4.01,251703
446579939,The Lucky One,Nicholas Sparks,2008,4.1,267166
451191153,The Fountainhead,"Ayn Rand, Leonard Peikoff",1943,3.85,244545
425172902,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,1984,4.01,270318
038039586X,"Watership Down (Watership Down, #1)",Richard Adams,1972,4.05,292426
307886263,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011,3.84,290674
375414495,Cutting for Stone,Abraham Verghese,2009,4.28,258319
006112527X,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",1951,4.08,306492
753453800,Treasure Island,Robert Louis Stevenson,1882,3.82,268012
1423140591,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011,4.44,299980
1451627289,11/22/63,Stephen King,2011,4.29,258464
241003008,The Very Hungry Caterpillar Board Book,Eric Carle,1969,4.29,296952
140285601,Cat's Cradle,Kurt Vonnegut Jr.,1963,4.18,238940
451528557,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,3.87,276076
849946158,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",2010,4.01,228371
385751060,The Boy in the Striped Pajamas,John Boyne,2006,4.1,285692
1892295490,Heart of Darkness,Joseph Conrad,1899,3.42,255576
044654759X,Safe Haven,Nicholas Sparks,2010,4.19,255531
1582701709,"The Secret (The Secret, #1)",Rhonda Byrne,2006,3.62,241537
60987561,I Know This Much Is True,Wally Lamb,1998,4.17,246917
1416524347,Pet Sematary,Stephen King,1983,3.91,256383
671021001,She's Come Undone,Wally Lamb,1992,3.84,259576
756404738,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,2011,4.57,245686
440241901,Can You Keep a Secret?,Sophie Kinsella,2003,3.83,278747
1442403543,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,2011,4.16,341826
743418174,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,2001,3.7,248804
380018179,The Thorn Birds,Colleen McCullough,1977,4.22,255651
60530928,The Graveyard Book,"Neil Gaiman, Dave McKean",2008,4.12,302303
1451681739,The Light Between Oceans,M.L. Stedman,2012,4,243526
439709105,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",2003,3.86,285011
91883768,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",1998,3.74,237272
307279464,A Walk in the Woods,Bill Bryson,1997,4.05,250192
553279378,I Know Why the Caged Bird Sings,Maya Angelou,1969,4.19,270859
61950726,Orphan Train,Christina Baker Kline,2013,4.14,226091
1442416866,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012,4.3,300553
316204277,"Where'd You Go, Bernadette",Maria Semple,2012,3.9,215453
375806814,Where the Red Fern Grows,Wilson Rawls,1961,4.04,268548
60557818,Neverwhere,Neil Gaiman,1996,4.18,268318
571224385,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",1984,4.08,205279
552135399,A Prayer for Owen Meany,John Irving,1989,4.22,226964
316182540,White Oleander,Janet Fitch,1999,3.93,245674
039925675X,"Legend (Legend, #1)",Marie Lu,2011,4.19,299998
743496728,Nineteen Minutes,Jodi Picoult,2007,4.1,235978
1401323251,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",2008,4.25,241869
812511816,"The Eye of the World (Wheel of Time, #1)",Robert Jordan,1990,4.18,260184
61150142,The Pact,Jodi Picoult,1998,4,221225
60764902,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,1953,4.01,268355
595440096,Still Alice,Lisa Genova,2007,4.3,223432
425263916,"Reflected in You (Crossfire, #2)",Sylvia Day,2012,4.33,252564
375814248,James and the Giant Peach,"Roald Dahl, Quentin Blake",1961,3.99,270402
446696617,"1st to Die (Women's Murder Club, #1)",James Patterson,2001,4.05,233984
345453743,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,1996,4.37,222842
340896965,One Day,David Nicholls,2009,3.77,222926
60775858,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",1947,4.27,244842
61969559,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,2010,3.94,253437
140275363,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,3.83,241088
316228532,The Casual Vacancy,J.K. Rowling,2012,3.28,231835
385339690,The Runaway Jury,John Grisham,1996,3.96,222712
316777730,Naked,David Sedaris,1997,4.08,201337
375840400,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,2005,3.96,250000
